word,empathy,distress,stemma
000,4.70422358379122,4.08415243629126,000
1,3.53624457442963,3.25555700187818,1
10,4.60304834099022,3.90704598092963,10
100,3.95902202953476,3.50438918457717,100
1000s,3.62289491126322,3.83139247456351,1000
101,4.47366597009602,3.47079113415713,101
11,4.67529955111173,4.32311099292011,11
12,5.05098542165927,4.43458552870842,12
1200,4.2811156764473,3.45907522062128,1200
122,4.97054154680069,4.73492822243999,122
13,5.07015426869998,4.38225620393702,13
130,4.58521494091704,4.48710854907889,130
14,5.15286765595768,4.41317572303922,14
1400,4.24966058645519,3.84984710551363,1400
1400miles,2.33399398365416,2.23877081014407,1400mile
15,5.02441911764125,4.25157914091664,15
150,4.34210199273209,3.9928015407926,150
16,5.06422445878349,4.42918147401392,16
17,5.07973329561283,4.38316155430267,17
1750,4.83452084343981,2.68807882187609,1750
175lbs,3.86365148536498,2.85204461956323,175lb
18,4.90878107569044,4.44429750692785,18
180,3.42567543855009,4.00214362622743,180
1800,5.09337084345344,2.99127095284379,1800
19,5.02838588364144,4.37003438438973,19
1925,4.60370184308287,2.21543954667001,1925
1947,3.86626492867941,2.41546043418185,1947
1950,3.90746531361475,1.95133738382228,1950
1960,4.16785228464999,2.0090318144119,1960
1960s,3.71421858277201,1.95831637546343,1960
1966,4.69882354232182,2.75103340331506,1966
1969,4.52007860981954,2.82713759431229,1969
1970s,2.63698975403776,1.83713953808209,1970
1993,4.0099776340767,2.27482133737825,1993
1996,4.04422514375135,2.15777523408769,1996
1997,4.08413502876981,2.24808802467598,1997
1998,4.05000274391064,2.48816245400554,1998
1999,4.13949346101562,2.40725530148497,1999
19th,4.75523291010351,4.16422203471014,19th
2,3.93132568133902,3.65231359837919,2
20,4.89424964603082,4.05904153435211,20
200,4.12331752308687,3.60323371043563,200
2000,4.43015908504009,2.23343666556582,2000
2001,3.90346110465794,2.40000408936068,2001
2002,3.96834694334047,2.41703842445974,2002
2004,4.27347837562991,2.51108445451769,2004
2005,4.25737721348486,2.7315806555804,2005
2006,4.40346478198699,2.89941707678082,2006
2007,4.43367735629036,3.09700697474222,2007
2008,4.61165565131739,3.44670955880208,2008
2009,4.46281429671823,3.62807290199962,2009
2010,4.45154687484802,3.51493048572432,2010
2011,4.47819248758938,3.85051732148381,2011
2012,4.2811692795195,3.81532217786975,2012
2013,4.16789838933922,3.74379884604138,2013
2015,4.46820207809069,4.56585686442443,2015
2016,4.50329241973918,4.66832828790586,2016
2017,4.14688789628931,4.62408293168245,2017
2018,4.35161656152609,4.34984645847432,2018
2019,4.39066330411374,4.0042315768316,2019
2020,4.03774589347426,3.30178259072686,2020
2022,3.76633606720414,3.93217978082388,2022
20k,3.69022272420115,1.79356184923029,20k
20s,3.07344235411275,1.73703181920607,20
20th,4.6348907049563,4.40163571264002,20th
2196,5.61327781320556,5.02978992488451,2196
22,5.07320818478776,4.45192356786985,22
220,4.74576086040681,3.95111621129127,220
23,4.84219890358651,4.39303635312551,23
230,4.36362876540455,3.88889797081764,230
24,4.89376683497253,4.36284038820828,24
25,4.89852483685853,4.11014597224351,25
250,4.47142439517277,3.67569375702608,250
25000,4.76521166596005,3.67058390773812,25000
26,4.91634299757494,4.37026151460027,26
270,4.57611666798454,4.53744348797696,270
28,4.8165341766666,4.3014932090685,28
29,4.70047315803234,4.29070450597732,29
2m,3.4815966793271,1.7619779877864,2m
2nd,3.35176674978464,3.57128088211075,2nd
3,4.24479615316252,3.8949906624308,3
30,4.51505698767609,4.01277797224068,30
300,4.26279652821745,3.28365348806489,300
30km,4.70112400156198,4.30798690260629,30km
30pm,5.14233509388472,4.72688459216389,30pm
31,4.73866515919694,4.29149313251721,31
32,4.51277732939147,4.1780409099598,32
33,4.68959569447797,4.48567073545753,33
35,4.44699610997755,4.12803529336748,35
350,4.49628938508354,3.59884883752419,350
37,4.48723345333824,4.47004942711813,37
38,4.62084755339849,4.51100823015394,38
39,4.51867780092577,4.53958189476996,39
3rd,3.49072333927735,3.87581737736277,3rd
4,4.41053166356038,4.05382094841104,4
40,4.3138760435619,3.99637456627751,40
400,4.44214321353665,3.56127084896734,400
40s,3.40673315467724,2.38480633340012,40
41,4.58210675459798,4.60505184345986,41
42,4.7877350258577,4.51723188986273,42
43,4.63177818738056,4.59727646668037,43
4th,4.09392093835533,4.01620601554666,4th
5,4.59990666015737,4.03998556747355,5
50,4.13227495209305,3.75037961804252,50
500,4.4756099987548,3.54134683292363,500
5000,4.49996535553963,3.59631575653022,5000
55,4.5912501198066,4.50474106796011,55
56,4.77806452354237,4.79908048707767,56
6,4.48517193455775,4.07154057114022,6
60,4.14384643309871,3.98424329073877,60
600,4.28282606674808,3.73002701102288,600
6000,4.72910813449163,3.5870570193869,6000
60s,4.12047668171173,2.3716814912598,60
63,4.48584584677973,4.46445323708759,63
65,4.46909255414446,4.21432637960545,65
66,4.4947732817089,4.51219961875874,66
6th,4.91566585454411,4.65959013659779,6th
7,4.56637407779018,3.85764653604113,7
70,4.37319130654923,3.73957842498268,70
700,4.27862735019284,3.51362366824466,700
70000,5.81951372605126,4.27553493028977,70000
70s,3.09275595668723,2.06781609693191,70
74,4.78156859777736,4.39261257569707,74
75,4.5840894596869,4.11473629002758,75
750,4.23926069223336,3.4123095360691,750
78,4.91881620029922,4.37648987710505,78
783,4.44330036854167,3.98338411328751,783
8,4.49619945585485,4.05809107503137,8
80,4.32178374549166,3.59578429438111,80
800,4.48869922765741,3.72430500608717,800
80s,2.3915033748308,1.41450855460914,80
82,4.66863517389057,4.25615087764257,82
83,4.73345830640915,4.1649224818151,83
85,4.42003359899803,3.88800343814614,85
86,4.53827696740583,3.90978547653672,86
87,4.67390817224652,4.00305096494491,87
88,4.71238514988304,4.15985827772757,88
8th,5.14753598889909,4.76702322158033,8th
9,4.39169511264694,4.21940273369795,9
90,4.24385986453086,3.3137067683962,90
90210alum,2.33399398365416,2.23877081014407,90210alum
90s,2.21164287301319,1.28803455800962,90
911,3.500654119865,3.41908169140503,911
99,3.67706024031562,2.15375473986454,99
:,3.38242514958441,2.84767215872812,:
:(,2.33399398365416,2.23877081014407,:(
;,2.97995041892088,2.51674664165117,;
?,3.64030463315351,3.60718687199972,?
?!,2.33399398365416,2.23877081014407,?!
?!!!,2.33399398365416,2.23877081014407,?!!!
?).,2.33399398365416,2.23877081014407,?).
"?,",2.33399398365416,2.23877081014407,"?,"
??,2.33399398365416,2.23877081014407,??
???,2.33399398365416,2.23877081014407,???
?????,2.33399398365416,2.23877081014407,?????
??????,2.33399398365416,2.23877081014407,??????
?”,2.33399398365416,2.23877081014407,?”
@,4.31516427987255,4.0336822849429,@
[,4.04627157634246,3.34655677596951,[
\,3.35145630306625,3.11062892540178,\
a,2.69468883289707,2.6551176742381,a
aah,4.39777541408933,3.03575834605182,aah
aare,5.30329720972377,3.7350338621562,aar
abandon,3.28300347929538,4.83920234835927,abandon
abandoned,3.68269623732844,4.44600587370619,abandon
abandoning,3.2802691947373,4.50707589107511,abandon
abbasi,5.49776428284754,4.39252015327271,abbasi
abed,3.73836231181392,3.21477498474803,abe
abhorrent,1.36883580738049,5.27465273909938,abhorr
abid,3.88232551052167,4.34290317651248,abid
abiding,3.19964347220172,3.80399572970006,abid
ability,3.64768930476859,2.29256752252279,abil
abject,2.07581725966708,4.69641203880128,abject
able,3.80940588745591,2.97413854968037,abl
abolishing,1.93871477552919,3.03068499369405,abolish
abolishment,1.73563978112595,1.75388883198518,abolish
abortion,4.7444622189415,4.93288481205231,abort
about,2.86502660407668,2.1320866917464,about
above,1.89393710385628,1.53005214193144,abov
abruptly,2.47148487058513,3.95494141015266,abruptli
absconded,2.51782491200567,3.5048861547813,abscond
absent,3.22936655061571,2.52087383529227,absent
absolute,3.41329778249526,4.17590331314286,absolut
absolutely,3.46597241296449,4.69585812421608,absolut
absorbed,3.697850939839,3.51448788619792,absorb
abstract,4.79576922157124,3.64579200941462,abstract
absurd,1.18092198231998,4.11863607680911,absurd
absurdity,1.25818986070652,4.37513289754387,absurd
abu,3.44273683838537,3.7912102311797,abu
abubakar,4.4556599798965,4.28537478670812,abubakar
abuja,4.63182887463234,3.61654912966437,abuja
abundant,4.71367066998089,3.69164986669264,abund
abuse,3.65764997707709,5.38766965129658,abus
abused,3.92896764730864,5.63983089381057,abus
abuser,3.4955868302947,4.77490572471782,abus
abusers,2.88404880147271,4.87553289005984,abus
abuses,2.6044664391265,5.29281337894209,abus
abusing,2.23737024621678,5.36551051853582,abus
abut,3.08797540394177,1.67729706859058,abut
academia,2.05759724337007,1.43027836687791,academia
academic,3.96870173200735,1.94564749696021,academ
academics,3.02900101806661,1.59462029339791,academ
academy,2.67472670257218,2.48206507286849,academi
accelerating,3.6750765871652,4.75599349335363,acceler
accept,1.99291681863221,3.9732608037013,accept
acceptable,1.91093309854861,3.10655721324323,accept
acceptance,4.46987579050665,3.96036077531596,accept
accepted,2.67199510993324,3.36840440668048,accept
accepting,2.08172014323808,3.58083709330852,accept
access,5.00621931625276,3.5268116747519,access
accessed,4.88709323612159,3.26182982642245,access
accessible,4.68630467205503,1.90635274923025,access
accident,4.64070698287259,4.39459175945708,accid
accidents,5.18531685940271,4.95574759470083,accid
acclaimed,4.61412295814252,3.80979200630986,acclaim
accompanying,4.01611801081459,3.07406297040057,accompani
accomplish,2.78492891951987,2.63158609052628,accomplish
accomplished,3.07850022603856,2.1948450319664,accomplish
accomplishments,2.81143445908379,2.04847898282686,accomplish
accord,2.86951949406201,2.61625157271397,accord
according,4.49032678183844,3.94355562631612,accord
accordingly,3.16357737888223,3.19788867267684,accordingli
accords,2.32785519085211,2.34110208748455,accord
account,2.56640131961697,4.39598654281065,account
accountability,4.83089132744164,5.08581137825899,account
accountable,3.89453743602111,4.70755902440266,account
accounted,2.33413345352081,3.31169751157075,account
accounting,3.00836396479611,2.80187015454889,account
accounts,2.09637065071116,3.34155761873977,account
accumulate,3.71386455642867,3.59388053194393,accumul
accurate,4.45551323577629,2.15263643967056,accur
accusations,3.23212384699325,4.561552645317,accus
accuse,3.06559416225032,4.80803006620767,accus
accused,3.55075102690821,5.24544530686416,accus
accusing,3.21621301099916,4.9413058517112,accus
accustomed,3.03897184615351,2.74714688407799,accustom
achieve,3.89544129441165,3.2385056390019,achiev
achieved,3.94796189641165,2.66741817678235,achiev
achievement,3.85102903036775,3.73202018507709,achiev
achieving,3.86245879556135,2.67881606688287,achiev
acknowledge,2.51019855590687,4.07688833152742,acknowledg
acknowledged,3.10053921242872,3.47141517955332,acknowledg
acquire,4.49591683822417,3.00990846307005,acquir
acquiring,4.09243063631473,2.58154647482608,acquir
acquitted,3.65210804507508,4.69668770610239,acquit
acres,4.16231745192943,3.51472161290939,acr
acrobatic,3.23861876638895,3.41433876353984,acrobat
across,4.07316936132388,4.63612986572998,across
act,3.06380882200268,4.08451647235921,act
acted,1.97649496679583,3.56086842950051,act
acting,1.54056262086477,2.13705350104627,act
action,2.43873159348793,3.67657422734134,action
actions,2.98000571978084,4.32310313950494,action
activate,4.27760901693297,3.81338741131469,activ
active,3.59055307260391,1.50412689019117,activ
actively,2.47444349176366,3.68294343668493,activ
activist,4.74845284187401,3.65631358937584,activist
activists,4.52451748282467,4.37222014762035,activist
activities,3.16404441000312,2.83411775336268,activ
activity,3.46631679030163,3.61216810064679,activ
actor,3.34271859126916,2.47014143257166,actor
actors,1.82303930419068,1.84156262116446,actor
actress,3.64430127032135,2.39608570075755,actress
actresses,2.43409984600615,1.6280923501393,actress
acts,3.40795820263746,3.86496770784351,act
actual,1.83439036460004,1.31790463022036,actual
actuality,2.14955865396316,3.10525611656973,actual
actually,1.93464192816131,1.81592778473339,actual
acuity,5.42663415185722,3.79145369934022,acuiti
ad,3.13282115101062,3.32996928280087,ad
adapt,3.27464476565018,2.89191429534063,adapt
adapted,4.62178592219407,3.32613316341356,adapt
adapting,3.46261240203997,2.47170267915874,adapt
add,2.61055553061436,3.76058288390263,add
added,3.15283392356466,4.01500304260905,ad
addict,2.23434185154957,2.92479325342611,addict
addiction,3.80626344606015,3.9803301111077,addict
addictions,4.57766546727108,3.67794814443364,addict
addicts,1.8293458401805,3.153044194523,addict
adding,2.82542752056678,4.21813849041343,ad
addition,2.93777956887107,2.4667104121205,addit
additional,3.90976983943744,3.97425403248687,addit
address,3.84097939234937,3.39350422478315,address
addressed,3.31930621673214,2.61610752282086,address
addressing,3.45817251513063,3.04769982587902,address
adds,3.37046074841302,3.43773828539837,add
aden,5.60395391574549,4.95851511974811,aden
adequate,3.80520397434966,3.16043827447356,adequ
adjacent,5.05130136126408,3.63531372675991,adjac
adjoining,4.31581679724797,3.57886001325306,adjoin
adjust,2.98167870593154,2.9420047945375,adjust
adjusting,2.6175240950005,2.25388280383685,adjust
administered,3.69005393766221,3.70148921858126,administ
administration,2.92529892741807,3.05405323976538,administr
administrative,4.14937406987234,2.64486774086845,administr
administrators,3.49413314878683,3.35858009542452,administr
adminstration,1.98709345541973,1.84359348221483,adminstr
admirable,2.0024032860662,1.82532930067638,admir
admired,2.75476111433814,2.55892309093021,admir
admirers,2.87945438190044,2.33056099961996,admir
admissions,3.99963016919033,4.09247118987482,admiss
admit,1.23109547555128,2.68223440719783,admit
admitted,2.5814551213855,3.58614124170293,admit
admitting,1.50340231702575,3.16413399640866,admit
adolf,4.69419055049341,3.57820298959527,adolf
adopt,3.55269635876725,4.41210630357366,adopt
adopted,4.33015821261214,4.21325369626439,adopt
adoption,5.35871346983998,5.09538755302217,adopt
adorable,5.20484742686587,5.34557377115135,ador
adore,4.38937196546804,4.58790518696954,ador
ads,2.71844552209973,2.6777568951144,ad
adult,2.96560982766035,3.47635797108511,adult
adults,3.16377821019683,3.45698331665442,adult
advance,2.82736532478644,3.27812293346702,advanc
advanced,3.31860938692456,3.75119500918108,advanc
advances,2.9080388939755,3.74069700045793,advanc
advancing,3.24872103899935,3.55149446343809,advanc
advantage,3.51682803957138,2.86140877314079,advantag
advent,5.51471027699001,4.21299036053109,advent
adventure,3.32864712292542,3.14923698217544,adventur
adversely,2.17297817275956,3.39219959309356,advers
adversity,5.45076897258165,4.1400924120559,advers
advertise,1.79577784402072,2.92544962603664,advertis
advertisement,2.97734848663301,2.6292345341552,advertis
advertisements,3.34911170746659,2.57228980151926,advertis
advertising,3.14398021084373,3.13568982148522,advertis
advice,3.12035905981298,1.27766692065338,advic
advise,3.03136718407734,2.14663302486209,advis
advising,4.07633473953474,2.28643738670069,advis
advocate,4.56585184910898,3.5579724613862,advoc
aerial,5.23091236637377,4.06100227118388,aerial
aesthetics,3.08900664414876,1.70263178122652,aesthet
affairs,1.69063362915952,2.01267986314529,affair
affect,2.91504421786236,2.58551286923276,affect
affected,3.60544971139531,2.55366746135807,affect
affecting,3.10567694246765,3.04938277427143,affect
affection,4.73944926977885,4.28952777940465,affect
affects,4.07415423319602,3.48681332587836,affect
affidavit,4.29548760959397,3.50396517877513,affidavit
affiliate,3.7356197170038,4.74342921200778,affili
affiliated,3.30885997140694,3.52264954376681,affili
afflicted,5.36427252340889,4.65250438888597,afflict
afford,3.81778240265872,3.39959032041881,afford
affordable,5.05810524830138,3.47741578064459,afford
affront,3.49312528366863,5.10441298857632,affront
afganistan,5.63604383409772,5.13473600878321,afganistan
afghan,6.05021277337119,5.37299244781991,afghan
afghanis,4.90131861531676,4.70152886442324,afghani
afghanistan,5.81443097777917,4.34944180069793,afghanistan
afire,4.00962154821909,4.66494595407243,afir
aforementioned,2.0719173278305,1.46361396165444,aforement
afp,4.99148918516051,3.5791351683807,afp
afraid,1.92819129176875,4.00796608138235,afraid
africa,5.38856307635193,4.82789669678367,africa
african,4.59796865491554,4.05911890832196,african
afrikaans,6.01046336175232,3.83957110110098,afrikaan
after,3.01472402748166,2.55146955322027,after
afterlife,4.57272613839474,3.69118963289511,afterlif
afternoon,3.24445835167122,4.09758942598056,afternoon
afternoons,3.75844501144883,3.46046952577266,afternoon
afterward,2.99168340209525,1.80582800793234,afterward
afterwards,3.25683378189916,1.70411713743881,afterward
again,3.0213356448805,3.27330672542606,again
against,3.28320242150556,3.26640444315644,against
age,4.41230005207311,3.772590514137,age
aged,3.94265795409351,4.17480720443027,age
agencies,2.78570446276401,3.72058699046614,agenc
agency,3.35333330323381,4.30053142155707,agenc
agenda,3.27137370205179,2.78945223933313,agenda
agent,3.48025930448379,2.96238605916567,agent
ages,3.38152267386074,3.43913903825467,age
aggrandizements,3.87656403662103,3.98939208310704,aggrandiz
aggravated,2.7048729489432,5.06577608133998,aggrav
aggravates,2.51394946739873,4.39715942499744,aggrav
aggravation,2.87942484968426,3.82855115142936,aggrav
aggressive,3.29161844897451,4.56595540985367,aggress
aghanistan,2.33399398365416,2.23877081014407,aghanistan
aghast,2.1275563394075,5.10652422628491,aghast
ago,2.46260901424259,3.0630438167102,ago
agonized,4.73134428163327,5.44727847620786,agon
agonizing,4.97242696003389,5.3859725677978,agon
agree,1.51638361285535,2.30483638277009,agre
agreed,1.80304751461021,3.35396112032695,agre
agreement,2.27013805889135,3.50603428740209,agreement
agreements,2.94318340183117,4.03945506034735,agreement
agricultural,3.73243224624264,3.30708632340074,agricultur
agriculture,3.71563432490599,3.58330449811542,agricultur
aguek,2.33399398365416,2.23877081014407,aguek
ahead,1.84110945203983,3.13559092544392,ahead
ahold,4.48220971649935,3.96547808174004,ahold
ahve,3.63181904404749,1.72891845530087,ahv
aid,5.20872281580805,3.89516261421327,aid
aids,4.40717487602529,2.44323071094545,aid
aim,4.36994932864477,3.62634080546553,aim
air,4.1738404162598,3.71447718995487,air
aircraft,5.04571519485048,3.22376799669265,aircraft
aired,2.52942621233688,2.7864623365937,air
airline,5.06634910480967,3.62161870319393,airlin
airlines,4.87292160534213,3.91098901789213,airlin
airport,4.37892899606302,4.17747896324745,airport
airports,4.76258019134285,4.62682726235093,airport
airsoft,2.65328807297604,2.92407175582805,airsoft
airstrikes,5.40036262766068,5.59036159698621,airstrik
aisle,3.65890206217306,4.28378036374931,aisl
akin,3.16524480271469,2.54334765426496,akin
al,3.64854015996189,2.68465026686142,al
alabama,5.08687111727611,3.54011496802257,alabama
alan,4.17105066063863,2.91378408032342,alan
alarm,4.0317610828187,3.81528852797715,alarm
alarmed,2.77300696185449,4.95211563166753,alarm
alarming,1.93019658994181,5.16719012449104,alarm
alarms,3.91191053401185,2.97748434531152,alarm
alaska,5.79993118982208,3.32889072809323,alaska
albatross,4.76959664391407,3.65238736913477,albatross
alec,3.57983129101001,2.38889010760042,alec
aleppo,5.2674682417406,4.72387912608335,aleppo
alert,4.27672968327854,3.72803077545502,alert
alexander,5.06021236419515,3.90254795392589,alexand
alien,1.52982469712312,3.33152399694241,alien
alike,2.99720563699667,3.25244754698062,alik
alito,4.30735159848729,3.52197804953332,alito
alive,3.50327379147228,2.54376816066893,aliv
all,3.14748726566802,2.81089729993875,all
allah,3.93676910002943,4.998310451734,allah
allegations,3.48289443107684,4.94094291996683,alleg
allege,3.96771182007586,4.98681096550174,alleg
alleged,3.26075745807566,4.52777840805068,alleg
allegedly,3.26047121223312,4.44319362566048,allegedli
allepo,2.33399398365416,2.23877081014407,allepo
allied,4.15164614021157,3.63069773744003,alli
allies,4.60070142776695,4.74198349216706,alli
allow,3.18561113968208,3.94802601399339,allow
allowed,1.92530851076091,2.71764355434373,allow
allowing,3.52499763820423,3.83985016012291,allow
allows,3.40402921929872,3.23279811427963,allow
allready,3.59176162772909,2.2689686888748,allreadi
ally,4.52419868176598,4.73974613005068,alli
almighty,2.77793357732644,3.23132738092191,almighti
almost,3.25871845371393,3.77405086803073,almost
alone,2.73387569831675,3.74224521358483,alon
along,3.68617169138971,3.08555013889218,along
alot,3.82900354229986,1.46451366612542,alot
already,2.17110470037957,4.02371475571129,alreadi
alright,2.72600755457495,2.16038396377316,alright
also,3.37499616841387,2.93942135551522,also
alt,4.47585724672086,2.4975210941669,alt
altered,3.10755707195522,3.91891803273447,alter
altering,2.13517176833573,3.45491117308719,alter
alternative,2.77582640908577,2.71669297258799,altern
alternatives,2.90221500708221,3.28648342509041,altern
although,1.97962485751752,1.2472731458172,although
altruistic,4.35933273544116,1.99445292968641,altruist
always,3.34560061295632,1.56821065035326,alway
alzheimer,5.34209030836481,4.3622649914286,alzheim
am,3.54401952837592,4.55633035698206,am
amanda,5.22240577173791,5.22418164346891,amanda
amaze,2.44079123746284,3.92724969475193,amaz
amazement,2.33591212770472,4.29645769298174,amaz
amazing,5.30186327750954,4.38791144786547,amaz
amazon,4.26321834055647,3.74609340131608,amazon
ambitious,1.882579458578,2.84905302074008,ambiti
ambulance,4.77047506013124,4.62007977962346,ambul
ambulances,5.18241051514221,5.518731136519,ambul
ambush,4.20352294157138,4.18167689471422,ambush
ambushes,4.18984520239145,3.91510452950127,ambush
amenable,3.16901420645242,2.20134438807701,amen
amendment,4.28739870474208,3.94248557663112,amend
america,3.67466185786539,3.90770581193944,america
american,3.53426797755573,3.01379794684653,american
americans,3.62367473019313,3.33212282873874,american
amicable,2.63829631032281,1.45277298066738,amic
amicalola,2.33399398365416,2.23877081014407,amicalola
amira,5.69857314905684,4.6459148454791,amira
amlaner,2.33399398365416,2.23877081014407,amlan
amly,2.33399398365416,2.23877081014407,amli
ammunition,4.41910435209969,4.50184552404587,ammunit
among,3.25439735180994,2.56802250831426,among
amongst,2.03502727331078,1.95670015729344,amongst
amount,1.51341006865814,3.02786582882371,amount
amounting,2.2920082629857,4.52756003593899,amount
amounts,1.4669562464747,3.05999073554264,amount
amphibian,5.35726312252431,4.01683621738834,amphibian
amphibians,5.34680198548573,4.36195352811467,amphibian
amplification,4.82430924568392,2.64212414149208,amplif
amusement,1.75953141127101,2.20402469654176,amus
amusing,1.1075202677636,1.18305171561491,amus
an,3.45853656119171,3.03696756954158,an
anal,3.37838058991743,3.35622360971899,anal
analysis,4.13726486449357,2.73225435538894,analysi
analysts,4.01359712115167,3.65350251790126,analyst
analyze,4.48372090547045,4.29337262291997,analyz
analyzed,4.07962715213463,4.11136128503033,analyz
anarcho,3.57325409672265,2.06727600078177,anarcho
anchorage,6.00678831376522,3.55159162920165,anchorag
ancient,4.54755523731154,2.99033565158715,ancient
and,4.33489631791226,3.39124394019275,and
andrea,5.51541914457652,5.2437902015,andrea
andres,4.11713121122982,3.83241828455547,andr
android,1.41339381702076,2.38192742509621,android
anecdotal,3.81086055050982,2.50854986894865,anecdot
anet,1.12973836640722,2.42386360996322,anet
angeles,5.12899961539046,3.22946332121705,angel
angelia,5.79296506370661,4.88549880474153,angelia
angelina,5.16829072586604,4.45062599190799,angelina
anger,4.68472519147059,5.08365163307052,anger
angered,3.25076983129289,5.0803778749192,anger
angers,2.98504043064227,4.41430565835663,anger
angle,2.68456711662791,1.9021094355546,angl
angry,4.59512976492412,5.38810726176716,angri
animal,4.95204205574657,5.26752659612642,anim
animals,5.65484344105005,5.23312898296411,anim
animosity,2.86154570634725,3.24235899611322,animos
animus,3.81454476291231,3.5150754804131,animu
anniversary,5.25969094990253,4.13702842589065,anniversari
announced,3.03832897210459,3.38133054297624,announc
announcement,2.77656678175442,2.73025523279732,announc
announcements,2.79819826367404,2.04906489696277,announc
annoyed,1.30936550931353,2.9946094972118,annoy
annoying,1.14391958142196,1.53400772431401,annoy
annoys,1.27315310797261,1.24689330313304,annoy
annual,3.19547169257452,3.61146907606423,annual
annually,3.70382786615158,3.99100231450122,annual
anonymous,3.49985708228723,2.78423503909469,anonym
another,1.75435957135164,3.56353184807698,anoth
anscestors,6.27629566355343,3.47158239290466,anscestor
answer,2.85994978313326,1.72078382881078,answer
answered,3.48138865833515,2.98845873447261,answer
answers,3.70217763499063,1.85661393088375,answer
anti,2.0318979978862,2.11662136144798,anti
anticipate,2.71374456540894,2.90440584739803,anticip
antics,1.67152540279533,2.31288357757422,antic
antithetical,3.06485732734572,4.13338247615482,antithet
anxiety,4.29077296027496,4.59426420626662,anxieti
anxious,3.22037052291946,4.96448970322237,anxiou
any,1.35763754340395,1.80594509051673,ani
anybody,1.32688015928995,1.77766000771093,anybodi
anyhow,1.49133093334549,1.07396820553663,anyhow
anymore,1.80622531190602,1.40827168637193,anymor
anyone,1.43627918033437,2.31098169067478,anyon
anything,1.18825635366757,1.32549251673551,anyth
anytime,2.61704301426449,2.89802950847312,anytim
anyway,1.52601481425057,1.08277352772571,anyway
anyways,2.11604756328801,1.08595603088631,anyway
anywhere,2.11193570950497,1.69409604843256,anywher
apart,3.25229480879683,2.67956835944107,apart
apartment,3.82077088064715,4.48142889576655,apart
apes,3.28501354798074,4.09794328294959,ape
aphasia,5.65160941084599,2.53233395404029,aphasia
apologies,2.79112772517865,2.69836011389048,apolog
apologized,3.00007897641885,4.83555378136904,apolog
apology,2.87419178456995,3.63588451192845,apolog
app,2.98670418873409,3.15301451038483,app
appalachia,6.34378793042058,4.27038765451938,appalachia
appalachian,5.76725151335302,3.00676598615912,appalachian
appalled,2.19577352081833,5.56183608152876,appal
appalling,2.28649660462948,5.56760087434192,appal
